Employee_ID,Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition
1,58,0,1,IT,Manager,1,15488,-1.2078761056224732,0.009340704631415151,-0.8845154275534226,-0.8039850993246151,-1.3528463405622109,-0.10581883433186111,1.302698655951261,-1.2779095493799684,No,0.44093981984231767,1.0853391418181455,1.2515204802696256,4,4,4,20,3,No
2,48,0,1,Sales,Assistant,5,13079,-1.2078761056224732,-1.0684329066857259,0.36515316181281454,-1.1378659545258671,-0.44793240038681903,-1.5073927989922749,-1.3504554294891893,-1.5615506556985252,Yes,-1.129638345223818,0.05135456720574932,-1.4269610184347628,4,1,2,25,2,No
3,34,1,1,Marketing,Assistant,1,13744,-1.3698060725256436,1.0871143159485561,1.6148217511790517,1.1993000318828972,0.45698153978857275,-0.806605816662068,-1.3504554294891893,0.9557641628786674,Yes,0.44093981984231767,-1.2124043573205125,-1.2595559247657384,3,4,4,45,3,No
4,27,0,0,Marketing,Manager,1,6809,-1.2888410890740585,-0.5894224127669965,0.11521944393956714,-0.8039850993246151,0.45698153978857275,1.2957551303285528,1.302698655951261,-0.036979709236281834,No,1.6188734436419194,0.39601609207654803,1.41892557393865,2,3,1,35,3,No
5,40,1,0,Marketing,Executive,1,10206,-0.2362963042034514,1.685877433346968,0.615086879686062,-1.1378659545258671,-0.44793240038681903,1.2957551303285528,-1.3504554294891893,0.4948473651110124,No,-0.7369938039572841,-1.3272915322774455,-1.5943661121037869,4,1,3,44,3,No
6,58,1,0,Finance,Assistant,3,16746,-0.39822627110662173,0.009340704631415151,0.36515316181281454,-0.47010424412336305,1.3618954799639647,-0.806605816662068,0.4183139608044442,0.5657576416906517,No,1.6188734436419194,-1.0975171823635796,-0.08772026908256857,2,2,3,24,1,No
7,38,1,0,HR,Analyst,1,18995,-0.11484882902607367,1.685877433346968,-1.6343165811731648,-1.1378659545258671,1.3618954799639647,1.2957551303285528,-1.3504554294891893,-0.24971053897519954,No,-1.129638345223818,1.2002263167750782,0.5819001055935284,1,1,3,40,2,No
8,42,0,0,Marketing,Manager,3,19035,-1.3698060725256436,-1.3079381536450905,0.36515316181281454,-1.4717468097271191,0.45698153978857275,-0.806605816662068,0.4183139608044442,-0.7106273367428545,No,0.04829527857578376,0.16624174216268223,0.4144950119245042,4,2,4,13,1,No
9,30,1,1,IT,Analyst,5,14671,-1.0864286304450954,0.3685985750704622,-1.13444914542667,0.1976574662791411,1.3618954799639647,-1.5073927989922749,-1.3504554294891893,-0.2851656772650191,Yes,-1.129638345223818,-0.9826300074066467,-0.2551253627515928,3,4,2,48,3,No
10,30,1,1,Marketing,Analyst,3,16210,-1.0864286304450954,0.3685985750704622,0.8650205975593094,1.5331808870841495,0.45698153978857275,-1.5073927989922749,-0.46607073434237256,0.9203090245888478,No,0.8335843611088516,0.9704519668612125,-0.7573406437586656,3,3,4,39,2,No
