Employee_ID,Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition
1,58,0,1,IT,Manager,1,15488,-1.2078761056224732,0.00934070463141522,-0.8845154275534227,-0.8039850993246151,-1.3528463405622109,-0.10581883433186133,1.3026986559512612,-1.2779095493799686,No,0.44093981984231767,1.0853391418181455,1.2515204802696256,4,4,4,20,3,No
2,48,0,1,Sales,Assistant,5,13079,-1.2078761056224732,-1.068432906685726,0.3651531618128145,-1.1378659545258671,-0.447932400386819,-1.5073927989922753,-1.3504554294891895,-1.5615506556985255,Yes,-1.129638345223818,0.05135456720574932,-1.4269610184347628,4,1,2,25,2,No
3,34,1,1,Marketing,Assistant,1,13744,-1.3698060725256436,1.0871143159485563,1.6148217511790517,1.1993000318828977,0.4569815397885728,-0.8066058166620683,-1.3504554294891895,0.9557641628786675,Yes,0.44093981984231767,-1.2124043573205125,-1.2595559247657384,3,4,4,45,3,No
4,27,0,0,Marketing,Manager,1,6809,-1.2888410890740585,-0.5894224127669965,0.11521944393956708,-0.8039850993246151,0.4569815397885728,1.2957551303285528,1.3026986559512612,-0.036979709236281876,No,1.6188734436419194,0.39601609207654803,1.41892557393865,2,3,1,35,3,No
5,40,1,0,Marketing,Executive,1,10206,-0.2362963042034513,1.6858774333469682,0.6150868796860619,-1.1378659545258671,-0.447932400386819,1.2957551303285528,-1.3504554294891895,0.4948473651110124,No,-0.7369938039572841,-1.3272915322774455,-1.5943661121037869,4,1,3,44,3,No
6,58,1,0,Finance,Assistant,3,16746,-0.3982262711066216,0.00934070463141522,0.3651531618128145,-0.470104244123363,1.3618954799639647,-0.8066058166620683,0.4183139608044444,0.5657576416906518,No,1.6188734436419194,-1.0975171823635796,-0.08772026908256857,2,2,3,24,1,No
7,38,1,0,HR,Analyst,1,18995,-0.11484882902607355,1.6858774333469682,-1.6343165811731648,-1.1378659545258671,1.3618954799639647,1.2957551303285528,-1.3504554294891895,-0.2497105389751996,No,-1.129638345223818,1.2002263167750782,0.5819001055935284,1,1,3,40,2,No
8,42,0,0,Marketing,Manager,3,19035,-1.3698060725256436,-1.3079381536450907,0.3651531618128145,-1.4717468097271191,0.4569815397885728,-0.8066058166620683,0.4183139608044444,-0.7106273367428546,No,0.04829527857578376,0.16624174216268223,0.4144950119245042,4,2,4,13,1,No
9,30,1,1,IT,Analyst,5,14671,-1.0864286304450954,0.3685985750704623,-1.13444914542667,0.19765746627914124,1.3618954799639647,-1.5073927989922753,-1.3504554294891895,-0.28516567726501924,Yes,-1.129638345223818,-0.9826300074066467,-0.2551253627515928,3,4,2,48,3,No
10,30,1,1,Marketing,Analyst,3,16210,-1.0864286304450954,0.3685985750704623,0.8650205975593093,1.53318088708415,0.4569815397885728,-1.5073927989922753,-0.4660707343423725,0.9203090245888479,No,0.8335843611088516,0.9704519668612125,-0.7573406437586656,3,3,4,39,2,No
11,43,0,1,Finance,Executive,5,8197,0.9376959558445336,1.2068669394282387,1.1149543154325567,0.8654191766816455,0.4569815397885728,-1.5073927989922753,1.3026986559512612,-0.10788998581592112,Yes,1.6188734436419194,0.8555647919042796,-0.7573406437586656,4,1,2,4,3,Yes
12,55,0,1,IT,Analyst,5,18553,0.7352834972155706,0.2488459515907799,0.6150868796860619,1.53318088708415,-0.447932400386819,-0.8066058166620683,-0.4660707343423725,1.0975847160379462,No,0.8335843611088516,-0.9826300074066467,1.41892557393865,2,2,3,12,1,No
13,59,0,0,Finance,Executive,3,10452,-1.7341484980577768,-0.3499171658076319,0.3651531618128145,1.53318088708415,1.3618954799639647,-0.8066058166620683,-1.3504554294891895,1.0621295777481266,No,0.04829527857578376,-0.7528556574927809,-0.08772026908256857,1,4,1,17,1,No
14,43,0,0,IT,Assistant,2,11718,-1.2888410890740585,-0.9486802832060435,-1.6343165811731648,-1.1378659545258671,-0.447932400386819,0.5949681479983457,-1.3504554294891895,1.0621295777481266,Yes,-0.34434926269075017,-0.2933069576650494,-1.2595559247657384,1,3,4,1,3,No
15,22,1,0,Sales,Manager,4,17859,-1.612701022880399,0.12909332811109756,-1.6343165811731648,1.1993000318828977,0.4569815397885728,1.2957551303285528,0.4183139608044444,0.35302681195173397,No,-0.34434926269075017,0.5109032670334809,1.2515204802696256,3,3,1,17,2,No
16,41,1,2,HR,Analyst,1,5172,-0.07436633730028097,-0.4696697892873142,0.3651531618128145,-0.8039850993246151,0.4569815397885728,1.2957551303285528,-1.3504554294891895,0.8493987480092087,Yes,1.2262289023753854,-0.17841978270811648,1.41892557393865,3,3,3,2,1,No
17,21,1,1,HR,Manager,4,16158,-1.2483585973482658,-0.11041191884826713,0.8650205975593093,0.8654191766816455,0.4569815397885728,0.5949681479983457,-1.3504554294891895,1.1684949926175854,Yes,-1.522282886490352,0.05135456720574932,-0.92474573742769,2,4,2,6,3,No
18,43,1,1,Finance,Analyst,1,19663,1.6663808069088002,-1.427690777124773,1.6148217511790517,0.8654191766816455,-1.3528463405622109,0.5949681479983457,-1.3504554294891895,-1.4551852408290666,Yes,0.04829527857578376,0.8555647919042796,0.07968482458645569,3,4,1,44,4,No
19,49,0,0,HR,Manager,1,14085,-1.612701022880399,0.4883511985501446,-0.38464799180692777,-0.8039850993246151,-1.3528463405622109,-1.5073927989922753,-0.4660707343423725,-0.7815376133224939,No,-1.129638345223818,-0.7528556574927809,-0.08772026908256857,2,4,4,11,3,No
20,57,1,1,Finance,Analyst,5,6981,1.5449333317314224,0.3685985750704623,-0.8845154275534227,-0.8039850993246151,-1.3528463405622109,0.5949681479983457,0.4183139608044444,-0.10788998581592112,No,1.6188734436419194,-0.06353260775118358,1.0841153866006012,4,3,1,43,3,No
